"model","seed","mechanism","utility","coverage","demand","quality","redundancy","totalRewards","averageReward","leakage","detection","falsePositives","verificationCost","prevented","verificationEfficiency","attackROI","participation","concentration","usefulEfficiency","verified","configuration"
"1.0","42","Contribution","0.7247523531445865","0.967","0.9208087389601016","0.6945971780342043","0.888","782.221853273169","7.82221853273169","133.9525339433759","0.42857142857142855","0","10","145.1854311512206","14.51854311512206","2.3488133485843976","0.59","0.028805815238611705","0.7213568047470462","10","{""seed"":42,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","42","Quality-adjusted","0.7247523531445865","0.967","0.9208087389601016","0.6945971780342043","0.888","779.2937149138774","7.792937149138774","132.37999060099324","0.42857142857142855","0","10","147.13752339074853","14.713752339074853","2.309499765024831","0.58","0.029071230375164833","0.7225305837098905","10","{""seed"":42,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","42","Marginal utility","0.7247523531445865","0.967","0.9208087389601016","0.6945971780342043","0.888","943.3909034078558","9.433909034078559","70.33067916022942","0.14285714285714285","0","10","37.739397728096066","3.7739397728096065","0.7582669790057356","0.43","0.03550610073284856","0.9254490594448488","10","{""seed"":42,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","42","Proposed","0.7247523531445865","0.967","0.9208087389601016","0.6945971780342043","0.888","951.2284479923438","9.512284479923439","58.19688885560254","0.14285714285714285","0","10","32.51436800510383","3.2514368005103833","0.45492222139006344","0.42","0.03622207824618322","0.9388192300404467","10","{""seed"":42,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","43","Contribution","0.7007234147112038","0.961","0.8745362991911919","0.6642228399771466","0.862","571.5598130551908","5.715598130551908","63.830638461143195","0.5555555555555556","0","10","285.6267912965395","28.56267912965395","0.5957659615285799","0.59","0.02259768152153732","0.7834750748616803","10","{""seed"":43,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","43","Quality-adjusted","0.7007234147112038","0.961","0.8745362991911919","0.6642228399771466","0.862","571.9182304246085","5.719182304246085","63.26065968132744","0.5555555555555556","0","10","285.3878463835943","28.53878463835943","0.581516492033186","0.58","0.022743426072679245","0.782715039200418","10","{""seed"":43,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","43","Marginal utility","0.7007234147112038","0.961","0.8745362991911919","0.6642228399771466","0.862","799.2324973984145","7.992324973984145","23.228592424789632","0.3333333333333333","0","10","133.8450017343903","13.384500173439031","-0.4192851893802592","0.33","0.05165487947406021","0.9709363764606654","10","{""seed"":43,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","43","Proposed","0.7007234147112038","0.961","0.8745362991911919","0.6642228399771466","0.862","848.9708322453023","8.489708322453023","19.062445404962133","0.3333333333333333","0","10","100.68611183646539","10.068611183646539","-0.5234388648759467","0.33","0.05559429581973296","0.9775464071544755","10","{""seed"":43,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","44","Contribution","0.6982381245579949","0.954","0.8665691712508611","0.6728756584807745","0.858","695.4082459871652","6.9540824598716515","71.55911972574016","0.5714285714285714","0","10","203.06116934189","20.306116934189","0.788977993143504","0.58","0.02501171661048633","0.7694952498608991","10","{""seed"":44,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","44","Quality-adjusted","0.6982381245579949","0.954","0.8665691712508611","0.6728756584807745","0.858","700.8698560838028","7.008698560838028","74.43775066601195","0.5714285714285714","0","10","199.4200959441315","19.94200959441315","0.8609437666502988","0.57","0.025675932774178196","0.7667849642136869","10","{""seed"":44,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","44","Marginal utility","0.6982381245579949","0.954","0.8665691712508611","0.6728756584807745","0.858","831.8437126505087","8.318437126505087","12.221503488602668","0.2857142857142857","0","10","112.10419156632737","11.210419156632737","-0.6944624127849333","0.41","0.058502288155433554","0.9853079330855778","10","{""seed"":44,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","44","Proposed","0.6982381245579949","0.954","0.8665691712508611","0.6728756584807745","0.858","884.9318174622648","8.849318174622647","20.562563368658076","0.21428571428571427","0","10","76.71212169182337","7.671212169182337","-0.4859359157835481","0.42","0.05146909259532766","0.9767636749375499","10","{""seed"":44,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","45","Contribution","0.7275513708202818","0.955","0.9213550804171433","0.7184683706971265","0.884","736.9382855308417","7.369382855308417","166.6888150721923","0.42857142857142855","0","10","175.3744763127721","17.53744763127721","3.1672203768048077","0.59","0.030795416819291016","0.5491211296099706","10","{""seed"":45,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","45","Quality-adjusted","0.7275513708202818","0.955","0.9213550804171433","0.7184683706971265","0.884","736.7444632974796","7.367444632974796","168.05386789416815","0.42857142857142855","0","10","175.5036911350139","17.55036911350139","3.2013466973542037","0.58","0.031361329540167876","0.5503585601343178","10","{""seed"":45,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
"1.0","45","Marginal utility","0.7275513708202818","0.955","0.9213550804171433","0.7184683706971265","0.884","802.5703029582368","8.025703029582367","117.61892886062144","0.21428571428571427","1","10","109.82720170501665","10.982720170501665","1.940473221515536","0.38","0.057609245375604294","0.8534471953085186","10","{""seed"":45,""providers"":100,""users"":1000,""malicious"":20,""radius"":2.2,""capacity"":24,""reliability"":0.92,""quality"":0.9,""cost"":2,""stake"":10,""budget"":10,""verificationCost"":1,""sensitivity"":0.8,""falsePositive"":0.02,""strategy"":""risk"",""attack"":""false contribution"",""inflation"":3,""attackCost"":2,""sybils"":2,""sybilCost"":3,""fakeDemand"":25,""collusion"":0.6,""density"":""medium"",""distribution"":""clustered"",""placement"":""reward"",""pool"":1000,""weights"":[0.3,0.35,0.25,0.06,0.04],""trials"":10}"
